#eta,etabin,lut,func
25,6,74,74.5859
11,2,36,36.6856
-13,3,16,16.4721
-16,3,22,22.6491
1,0,73,74.9188
1,0,59,60.3512
-24,5,838,815.472
-22,5,654,648.896
1,0,59,60.3512
1,0,73,74.9188
-22,5,654,648.896
-24,5,838,815.472
31,7,57,58.4086
19,4,5,4.16043
-21,5,251,251.995
-35,8,171,171.446
-29,7,35,37.0396
-9,2,10,10.1904
31,7,57,58.4086
19,4,5,4.16043
-9,2,10,10.1904
-21,5,251,251.995
-29,7,35,37.0396
-35,8,171,171.446
6,1,558,558.355
17,4,500,499.316
2,0,160,162.38
20,4,121,122.06
-24,5,96,97.2455
17,4,500,499.316
2,0,160,162.38
6,1,558,558.355
20,4,121,122.06
-24,5,96,97.2455
-27,6,369,370.548
-15,3,172,173.028
-22,5,159,160.041
-28,6,117,118.397
-22,5,159,160.041
-15,3,172,173.028
-27,6,369,370.548
-28,6,117,118.397
10,2,810,780.649
-2,0,651,643.944
-34,8,62,63.0922
10,2,810,780.649
-34,8,62,63.0922
-2,0,651,643.944
1,0,53,54.108
-10,2,100,101.444
-11,2,62,63.1807
-19,4,1,2.08022
1,0,53,54.108
-10,2,100,101.444
-11,2,62,63.1807
-19,4,1,2.08022
9,2,174,175.665
29,7,91,92.599
24,5,52,53.2022
1,0,37,37.4594
-6,1,746,725.297
-6,1,559,559.432
-29,7,64,65.5316
-20,4,71,72.8075
-13,3,62,63.8294
-4,0,21,20.8108
1,0,37,37.4594
9,2,174,175.665
29,7,91,92.599
24,5,52,53.2022
-13,3,62,63.8294
-29,7,64,65.5316
-6,1,746,725.297
-6,1,559,559.432
-4,0,21,20.8108
-20,4,71,72.8075
5,1,1607,1546.04
-26,6,1476,1448.17
-6,1,260,260.732
-4,0,172,173.909
-17,4,123,124.325
-1,0,49,49.9458
-10,2,32,32.6094
5,1,1607,1546.04
-1,0,49,49.9458
-17,4,123,124.325
-6,1,260,260.732
-10,2,32,32.6094
-26,6,1476,1448.17
-4,0,172,173.909
4,0,248,248.421
-14,3,328,328.861
-19,4,27,27.0428
4,0,248,248.421
-14,3,328,328.861
-19,4,27,27.0428
5,1,254,254.621
27,6,97,98.3696
32,7,67,68.3808
19,4,15,14.5615
-5,1,1485,1423.94
-5,1,933,894.007
-5,1,58,59.4152
-13,3,46,47.3573
-15,3,20,20.5901
-16,3,20,20.5901
5,1,254,254.621
19,4,15,14.5615
27,6,97,98.3696
32,7,67,68.3808
-5,1,1485,1423.94
-5,1,58,59.4152
-5,1,933,894.007
-13,3,46,47.3573
-15,3,20,20.5901
-16,3,20,20.5901
28,6,43,44.3963
20,4,13,12.4813
8,1,1,2.0488
-28,6,391,392.278
-23,5,244,244.57
-1,0,45,45.7837
-13,3,24,24.7081
8,1,1,2.0488
20,4,13,12.4813
28,6,43,44.3963
-1,0,45,45.7837
-13,3,24,24.7081
-23,5,244,244.57
-28,6,391,392.278
17,4,149,150.489
12,2,72,73.3711
6,1,22,22.5368
1,0,21,20.8108
-2,0,151,152.831
-12,2,102,103.914
-14,3,52,53.5343
-11,2,44,44.8379
1,0,21,20.8108
17,4,149,150.489
6,1,22,22.5368
12,2,72,73.3711
-2,0,151,152.831
-14,3,52,53.5343
-11,2,44,44.8379
-12,2,102,103.914
17,4,87,89.4492
8,1,30,30.732
-24,5,215,216.843
-3,0,77,79.0809
-26,6,50,51.4998
-28,6,39,40.8446
17,4,87,89.4492
8,1,30,30.732
-26,6,50,51.4998
-3,0,77,79.0809
-24,5,215,216.843
-28,6,39,40.8446
-26,6,480,480.294
-8,1,461,460.498
-10,2,198,199.816
-33,8,73,76.9284
-14,3,81,82.3605
-36,9,47,48.005
-1,0,71,72.8377
-13,3,66,67.9474
-6,1,40,40.976
-10,2,198,199.816
-14,3,81,82.3605
-26,6,480,480.294
-19,4,55,56.1658
-36,9,47,48.005
-8,1,461,460.498
-33,8,73,76.9284
7,1,424,423.878
2,0,331,332.197
28,6,62,63.9307
20,4,63,64.4867
1,0,43,43.7026
2,0,35,35.3783
-17,4,836,799.628
-6,1,74,75.8056
-29,7,34,35.615
-6,1,16,16.3904
1,0,43,43.7026
2,0,35,35.3783
2,0,331,332.197
7,1,22,22.5368
7,1,424,423.878
20,4,63,64.4867
28,6,62,63.9307
-17,4,836,799.628
-29,7,34,35.615
-6,1,74,75.8056
-6,1,16,16.3904
12,2,511,510.311
26,6,321,322.663
13,3,60,61.7703
5,1,18,18.4392
9,2,18,18.3428
-4,0,283,283.717
-11,2,34,34.6475
5,1,18,18.4392
9,2,18,18.3428
13,3,60,61.7703
26,6,321,322.663
12,2,511,510.311
-11,2,34,34.6475
-4,0,283,283.717
-24,5,107,107.352
-12,2,82,83.5615
-12,2,82,83.5615
-24,5,107,107.352
22,5,72,73.6646
12,2,52,52.9902
4,0,51,52.0269
-3,0,393,393.238
-2,0,323,324.101
-1,0,93,94.7678
-24,5,54,55.2485
-12,2,16,16.3047
22,5,72,73.6646
4,0,51,52.0269
12,2,52,52.9902
-1,0,93,94.7678
-2,0,323,324.101
-3,0,393,393.238
-12,2,16,16.3047
-24,5,54,55.2485
1,0,31,31.2162
1,0,31,31.2162
1,0,592,591.485
-2,0,1060,1023.41
-6,1,383,383.437
1,0,592,591.485
-2,0,1060,1023.41
-6,1,383,383.437
3,0,1043,1007.36
26,6,30,31.9654
5,1,34,34.8296
-10,2,1069,1015.13
-24,5,156,156.671
-13,3,36,37.0622
-2,0,29,29.1351
5,1,34,34.8296
26,6,30,31.9654
3,0,1043,1007.36
-13,3,36,37.0622
-2,0,29,29.1351
-10,2,1069,1015.13
-24,5,156,156.671
13,3,467,466.193
19,4,320,320.834
1,0,90,91.5674
3,0,71,72.8377
12,2,56,57.0664
-20,4,1196,1131.17
-14,3,847,814.719
-15,3,28,28.8262
1,0,90,91.5674
13,3,467,466.193
3,0,71,72.8377
19,4,320,320.834
12,2,56,57.0664
-14,3,847,814.719
-15,3,28,28.8262
-20,4,1196,1131.17
20,4,21,20.8022
1,0,7,6.24323
-4,0,232,233.262
-5,1,189,189.9
1,0,7,6.24323
20,4,21,20.8022
-5,1,189,189.9
-4,0,232,233.262
1,0,21,20.8108
-4,0,964,932.244
-19,4,797,764.904
-2,0,21,20.8108
1,0,21,20.8108
-2,0,21,20.8108
-19,4,797,764.904
-4,0,964,932.244
6,1,860,827.189
3,0,784,764.775
5,1,85,86.0496
-27,6,321,322.663
-9,2,262,262.748
-4,0,201,202.775
5,1,85,86.0496
6,1,860,827.189
3,0,784,764.775
-9,2,262,262.748
-27,6,321,322.663
-4,0,201,202.775
28,6,242,242.55
28,6,134,135.345
25,6,79,79.9134
25,6,79,79.9134
28,6,134,135.345
28,6,242,242.55
9,2,265,265.828
17,4,61,62.4065
-14,3,250,250.853
-31,7,58,59.8332
-9,2,20,20.3809
-9,2,8,8.15235
9,2,265,265.828
17,4,61,62.4065
-9,2,8,8.15235
-9,2,20,20.3809
-14,3,250,250.853
-31,7,58,59.8332
17,4,98,99.5554
3,0,37,37.4594
17,4,27,27.0428
-24,5,196,197.446
-15,3,194,194.958
-20,4,11,10.4011
-12,2,6,6.11426
17,4,27,27.0428
17,4,98,99.5554
3,0,37,37.4594
-15,3,194,194.958
-12,2,6,6.11426
-20,4,11,10.4011
-24,5,196,197.446
10,2,128,128.686
14,3,85,86.4785
12,2,82,83.5615
28,6,55,56.8273
23,5,18,18.4162
14,3,18,18.5311
-18,4,39,39.5241
10,2,128,128.686
14,3,85,86.4785
14,3,18,18.5311
23,5,18,18.4162
12,2,82,83.5615
20,4,17,16.6417
28,6,55,56.8273
-18,4,39,39.5241
25,6,36,37.2929
16,3,38,39.1212
1,0,39,39.5405
13,3,38,39.1212
15,3,28,28.8262
4,0,23,22.8918
-28,6,140,141.299
-22,5,52,53.2022
-6,1,32,32.7808
-19,4,19,18.7219
1,0,39,39.5405
13,3,38,39.1212
25,6,36,37.2929
15,3,28,28.8262
4,0,23,22.8918
8,1,22,22.5368
16,3,38,39.1212
-6,1,32,32.7808
-22,5,52,53.2022
-19,4,19,18.7219
-28,6,140,141.299
22,5,355,355.322
-34,8,36,37.0324
-15,3,6,6.17703
22,5,355,355.322
-34,8,36,37.0324
-15,3,6,6.17703
7,1,448,447.906
28,6,34,35.5171
-23,5,454,453.858
-21,5,91,92.0539
-6,1,70,71.708
-19,4,35,35.3637
-8,1,30,30.732
