#eta,etabin,lut,func,funcInt
27,6,369,370.548,370
-19,4,25,24.9626,24
11,2,46,46.876,46
2,0,43,43.7026,43
-3,0,69,70.7566,70
2,0,43,43.7026,43
11,2,46,46.876,46
-3,0,69,70.7566,70
3,0,1389,1344.47,1344
19,4,107,108.087,108
4,0,69,70.7566,70
-3,0,1013,978.81,978
-4,0,454,453.938,453
3,0,1389,1344.47,1344
19,4,107,108.087,108
4,0,69,70.7566,70
-3,0,1013,978.81,978
-4,0,454,453.938,453
-10,2,821,789.942,789
-15,3,770,747.293,747
-4,0,21,20.8108,20
-10,2,821,789.942,789
-15,3,770,747.293,747
-4,0,21,20.8108,20
25,6,74,74.5859,74
11,2,36,36.6856,36
-16,3,22,22.6491,22
-13,3,16,16.4721,16
25,6,74,74.5859,74
11,2,36,36.6856,36
-13,3,16,16.4721,16
-16,3,22,22.6491,22
1,0,73,74.9188,74
1,0,59,60.3512,60
-24,5,838,815.472,815
-22,5,654,648.896,648
1,0,59,60.3512,60
1,0,73,74.9188,74
-22,5,654,648.896,648
-24,5,838,815.472,815
31,7,57,58.4086,58
19,4,5,4.16043,4
-21,5,251,251.995,251
-35,8,171,171.446,171
-29,7,35,37.0396,37
-9,2,10,10.1904,10
31,7,57,58.4086,58
19,4,5,4.16043,4
-9,2,10,10.1904,10
-21,5,251,251.995,251
-29,7,35,37.0396,37
-35,8,171,171.446,171
6,1,558,558.355,558
17,4,500,499.316,499
2,0,160,162.38,162
20,4,121,122.06,122
-24,5,96,97.2455,97
17,4,500,499.316,499
2,0,160,162.38,162
6,1,558,558.355,558
20,4,121,122.06,122
-24,5,96,97.2455,97
-27,6,369,370.548,370
-15,3,172,173.028,173
-22,5,159,160.041,160
-28,6,117,118.397,118
-22,5,159,160.041,160
-15,3,172,173.028,173
-27,6,369,370.548,370
-28,6,117,118.397,118
10,2,810,780.649,780
-2,0,651,643.944,643
-34,8,62,63.0922,63
10,2,810,780.649,780
-34,8,62,63.0922,63
-2,0,651,643.944,643
1,0,53,54.108,54
-10,2,100,101.444,101
-11,2,62,63.1807,63
-19,4,1,2.08022,2
1,0,53,54.108,54
-10,2,100,101.444,101
-11,2,62,63.1807,63
-19,4,1,2.08022,2
9,2,174,175.665,175
29,7,91,92.599,92
24,5,52,53.2022,53
1,0,37,37.4594,37
-6,1,746,725.297,725
-6,1,559,559.432,559
-29,7,64,65.5316,65
-20,4,71,72.8075,72
-13,3,62,63.8294,63
-4,0,21,20.8108,20
1,0,37,37.4594,37
9,2,174,175.665,175
29,7,91,92.599,92
24,5,52,53.2022,53
-13,3,62,63.8294,63
-29,7,64,65.5316,65
-6,1,746,725.297,725
-6,1,559,559.432,559
-4,0,21,20.8108,20
-20,4,71,72.8075,72
5,1,1607,1546.04,1546
-26,6,1476,1448.17,1448
-6,1,260,260.732,260
-4,0,172,173.909,173
-17,4,123,124.325,124
-1,0,49,49.9458,49
-10,2,32,32.6094,32
5,1,1607,1546.04,1546
-1,0,49,49.9458,49
-17,4,123,124.325,124
-6,1,260,260.732,260
-10,2,32,32.6094,32
-26,6,1476,1448.17,1448
-4,0,172,173.909,173
4,0,248,248.421,248
-14,3,328,328.861,328
-19,4,27,27.0428,27
4,0,248,248.421,248
-14,3,328,328.861,328
-19,4,27,27.0428,27
5,1,254,254.621,254
27,6,97,98.3696,98
32,7,67,68.3808,68
19,4,15,14.5615,14
-5,1,1485,1423.94,1423
-5,1,933,894.007,894
-5,1,58,59.4152,59
-13,3,46,47.3573,47
-15,3,20,20.5901,20
-16,3,20,20.5901,20
5,1,254,254.621,254
19,4,15,14.5615,14
27,6,97,98.3696,98
32,7,67,68.3808,68
-5,1,1485,1423.94,1423
-5,1,58,59.4152,59
-5,1,933,894.007,894
-13,3,46,47.3573,47
-15,3,20,20.5901,20
-16,3,20,20.5901,20
28,6,43,44.3963,44
20,4,13,12.4813,12
8,1,1,2.0488,2
-28,6,391,392.278,392
-23,5,244,244.57,244
-1,0,45,45.7837,45
-13,3,24,24.7081,24
8,1,1,2.0488,2
20,4,13,12.4813,12
28,6,43,44.3963,44
-1,0,45,45.7837,45
-13,3,24,24.7081,24
-23,5,244,244.57,244
-28,6,391,392.278,392
17,4,149,150.489,150
12,2,72,73.3711,73
6,1,22,22.5368,22
1,0,21,20.8108,20
-2,0,151,152.831,152
-12,2,102,103.914,103
-14,3,52,53.5343,53
-11,2,44,44.8379,44
1,0,21,20.8108,20
17,4,149,150.489,150
6,1,22,22.5368,22
12,2,72,73.3711,73
-2,0,151,152.831,152
-14,3,52,53.5343,53
-11,2,44,44.8379,44
-12,2,102,103.914,103
17,4,87,89.4492,89
8,1,30,30.732,30
-24,5,215,216.843,216
-3,0,77,79.0809,79
-26,6,50,51.4998,51
-28,6,39,40.8446,40
17,4,87,89.4492,89
8,1,30,30.732,30
-26,6,50,51.4998,51
-3,0,77,79.0809,79
-24,5,215,216.843,216
-28,6,39,40.8446,40
-26,6,480,480.294,480
-8,1,461,460.498,460
-10,2,198,199.816,199
-33,8,73,76.9284,76
-14,3,81,82.3605,82
-36,9,47,48.005,48
-1,0,71,72.8377,72
-13,3,66,67.9474,67
-6,1,40,40.976,40
-10,2,198,199.816,199
-14,3,81,82.3605,82
-26,6,480,480.294,480
-19,4,55,56.1658,56
-36,9,47,48.005,48
-8,1,461,460.498,460
-33,8,73,76.9284,76
7,1,424,423.878,423
2,0,331,332.197,332
28,6,62,63.9307,63
20,4,63,64.4867,64
1,0,43,43.7026,43
2,0,35,35.3783,35
-17,4,836,799.628,799
-6,1,74,75.8056,75
-29,7,34,35.615,35
-6,1,16,16.3904,16
1,0,43,43.7026,43
2,0,35,35.3783,35
2,0,331,332.197,332
7,1,22,22.5368,22
7,1,424,423.878,423
20,4,63,64.4867,64
28,6,62,63.9307,63
-17,4,836,799.628,799
-29,7,34,35.615,35
-6,1,74,75.8056,75
-6,1,16,16.3904,16
12,2,511,510.311,510
26,6,321,322.663,322
13,3,60,61.7703,61
5,1,18,18.4392,18
9,2,18,18.3428,18
-4,0,283,283.717,283
-11,2,34,34.6475,34
5,1,18,18.4392,18
9,2,18,18.3428,18
13,3,60,61.7703,61
26,6,321,322.663,322
12,2,511,510.311,510
-11,2,34,34.6475,34
-4,0,283,283.717,283
-24,5,107,107.352,107
-12,2,82,83.5615,83
-12,2,82,83.5615,83
-24,5,107,107.352,107
22,5,72,73.6646,73
12,2,52,52.9902,52
4,0,51,52.0269,52
-3,0,393,393.238,393
-2,0,323,324.101,324
-1,0,93,94.7678,94
-24,5,54,55.2485,55
-12,2,16,16.3047,16
22,5,72,73.6646,73
4,0,51,52.0269,52
12,2,52,52.9902,52
-1,0,93,94.7678,94
-2,0,323,324.101,324
-3,0,393,393.238,393
-12,2,16,16.3047,16
-24,5,54,55.2485,55
1,0,31,31.2162,31
1,0,31,31.2162,31
1,0,592,591.485,591
-2,0,1060,1023.41,1023
-6,1,383,383.437,383
1,0,592,591.485,591
-2,0,1060,1023.41,1023
-6,1,383,383.437,383
3,0,1043,1007.36,1007
26,6,30,31.9654,31
5,1,34,34.8296,34
-10,2,1069,1015.13,1015
-24,5,156,156.671,156
-13,3,36,37.0622,37
-2,0,29,29.1351,29
5,1,34,34.8296,34
26,6,30,31.9654,31
3,0,1043,1007.36,1007
-13,3,36,37.0622,37
-2,0,29,29.1351,29
-10,2,1069,1015.13,1015
-24,5,156,156.671,156
13,3,467,466.193,466
19,4,320,320.834,320
1,0,90,91.5674,91
3,0,71,72.8377,72
12,2,56,57.0664,57
-20,4,1196,1131.17,1131
-14,3,847,814.719,814
-15,3,28,28.8262,28
1,0,90,91.5674,91
13,3,467,466.193,466
3,0,71,72.8377,72
19,4,320,320.834,320
12,2,56,57.0664,57
-14,3,847,814.719,814
-15,3,28,28.8262,28
-20,4,1196,1131.17,1131
20,4,21,20.8022,20
1,0,7,6.24323,6
-4,0,232,233.262,233
-5,1,189,189.9,189
1,0,7,6.24323,6
20,4,21,20.8022,20
-5,1,189,189.9,189
-4,0,232,233.262,233
1,0,21,20.8108,20
-4,0,964,932.244,932
-19,4,797,764.904,764
-2,0,21,20.8108,20
1,0,21,20.8108,20
-2,0,21,20.8108,20
-19,4,797,764.904,764
-4,0,964,932.244,932
6,1,860,827.189,827
